OBJECTID,TRANSCODE,TC_METHOD,NAME,UNIQUE_ID,LAKE_NAME,NEW_KEY,X_COORD,Y_COORD,COMID,FDATE,GNIS_ID,GNIS_NAME,REACHCODE,FTYPE,FCODE,CI_TR,PU_CODE
42064,,,,46036,no name,41-773,520891.3449,265245.8319,,,,,,,,,
42089,,,,46074,no name,41-799,520927.5574,264974.9887,,,,,,,,,
42092,,,,46081,no name,41-774,520806.5855,264840.3255,,,,,,,,,
42111,,,,46125,no name,41-800,519699.3758,264801.0056,,,,,,,,,
42119,grand7952,Checked,,46139,no name,41-776,522230.7161,264623.6187,,,,,,,,,
42120,,,,46141,Terry Lake,44-139,733858.8628,264701.8019,,,,,,,,,
42159,,,,46219,no name,41-787,520988.3428,264135.5803,,,,,,,,,
42178,,,,46255,no name,41-804,520980.8835,263988.1983,,,,,,,,,
42179,,,,46257,no name,41-788,520882.0716,263928.679,,,,,,,,,
42223,No WB,Checked,,46319,no name,41-791,521532.99,263544.6506,,,,,,,,,
42237,,,,46341,no name,41-802,520214.6256,263500.3998,,,,,,,,,
42239,,,,46344,no name,41-801,519896.3134,263445.9793,,,,,,,,,
42246,,,,46354,no name,41-803,520212.7196,263436.0386,,,,,,,,,
42512,River,Checked,No Name,46798,no name,19-174,633053.3234,259394.6649,,,,,,,,,
42585,No WB,Checked,Wolf Lake,46936,Wolf Lake,76-52,638381.6004,259534.6482,,,,,,,,,
42719,clntn46261,Checked,,47172,no name,63-1738,721372.6772,258335.3836,,,,,,,,,
42784,clntn46196,spatjoin,Little Lake,46489,Little Lake,63-1606,734329.7946,262322.3735,146646196,3/29/06,,,4.09E+12,390,39004,46196,clntn
42788,clntn46201,spatjoin,Wolf Lake,46500,Wolf Lake,63-1613,732177.1994,262271.6375,146646201,3/29/06,1616707,Wolf Lake,4.09E+12,390,39004,46201,clntn
42789,clntn46305,spatjoin,,47443,no name,63-1756,722533.6341,257225.8882,146646305,3/29/06,,,4.09E+12,390,39004,46305,clntn
42791,clntn46321,spatjoin,,47501,no name,63-1755,722408.7536,256897.8916,146646321,3/29/06,,,4.09E+12,390,39004,46321,clntn
42794,clntn46278,spatjoin,Hidden Lake,47248,Hidden Lake,50-206,740843.0068,257977.1336,146646278,3/29/06,628207,Hidden Lake,4.09E+12,390,39004,46278,clntn
42795,clntn46257,spatjoin,Shadow Lake,46980,Shadow Lake,63-1641,732406.824,259041.8591,146646257,3/29/06,,,4.09E+12,390,39004,46257,clntn
42797,clntn46160,spatjoin,Peters Lake,46154,Peters Lake,44-137,731955.013,264554.7142,146646160,3/29/06,,,4.09E+12,390,39004,46160,clntn
42804,clntn46311,spatjoin,,47478,no name,63-1732,724120.4422,256937.1768,146646311,3/29/06,,,4.09E+12,390,39004,46311,clntn
42815,clntn46287,spatjoin,,47318,no name,63-1704,720287.0759,257566.2032,146646287,3/29/06,,,4.09E+12,390,39004,46287,clntn
42816,clntn46198,spatjoin,Secord Lake,46428,Secord Lake,63-1603,735330.5682,262557.0525,146646198,3/29/06,637532,Secord Lake,4.09E+12,390,39004,46198,clntn
42820,clntn46317,spatjoin,Lakeville Lake,47143,Lakeville Lake,63-1650,732670.5069,257297.0281,146646317,3/29/06,630070,Lakeville Lake,4.09E+12,390,39004,46317,clntn
42825,clntn46203,spatjoin,,46522,no name,50-238,737636.4831,261978.3808,146646203,3/29/06,,,4.09E+12,390,39004,46203,clntn
42827,stclr4869,spatjoin,,46978,no name,77-212,772356.1036,259436.8506,155404869,5/11/07,,,4.09E+12,390,39004,4869,stclr
42828,stclr4870,spatjoin,,46998,no name,77-213,772399.7448,259269.5309,155404870,5/11/07,,,4.09E+12,390,39004,4870,stclr
42829,stclr4871,spatjoin,,47046,no name,77-214,772002.9994,258984.3136,155404871,5/11/07,,,4.09E+12,390,39004,4871,stclr
42833,clntn46283,spatjoin,,47280,no name,63-1707,722249.0691,257777.3285,146646283,3/29/06,,,4.09E+12,390,39004,46283,clntn
42839,clntn46174,spatjoin,Slating Lake,46351,Slating Lake,63-1615,732296.8288,263342.098,146646174,3/29/06,,,4.09E+12,390,39004,46174,clntn
42843,clntn46314,spatjoin,,47483,no name,63-1555,725405.2015,256999.2266,146646314,3/29/06,,,4.09E+12,390,39004,46314,clntn
42845,clntn46322,spatjoin,,47522,no name,63-1697,719825.0206,256574.4079,146646322,3/29/06,,,4.09E+12,390,39004,46322,clntn
